"","GSM4861833","GSM4861834","GSM4861835","GSM4861836","GSM4861837","GSM4861838","GSM4861839","GSM4861840","GSM4861841","GSM4861842","GSM4861843","GSM4861844"
"ZFP36L1",8.032679085,8.123366625,7.025101423,7.739329679,7.831376866,7.830780854,7.811076361,8.122743732,8.737952859,8.478316451,8.518850557,8.28846784
"FLG",2.795245435,2.980166054,3.053903401,2.920947195,2.923073683,2.946678743,3.026847903,2.932591686,2.969661004,2.844592707,2.84991885,2.85686199
"DCAF5",14.54239527,14.15104831,14.21809417,14.45190056,14.29698743,14.16258886,14.53484036,14.55172721,14.342123,14.19563872,14.19061649,14.14612194
"SLC10A1",5.127575286,5.286039505,5.097325631,5.152821774,5.144737322,5.382911441,4.542985043,4.731536484,4.877167331,4.532126188,4.581467916,4.639999013
"SLC8A3",3.746940724,3.822537809,4.191911908,3.279482976,4.159696032,4.216257157,3.367948198,3.285527334,4.125872386,4.306428972,4.028938239,3.9466114
"SYNJ2BP",11.78427553,11.54151613,11.48902014,11.58876411,11.57894249,11.70801302,11.30819806,11.31981659,11.25414711,11.1367705,11.05663663,11.01676086
"ADAM20",7.286959463,7.398159638,8.068519659,7.622101992,7.585861601,7.472702914,7.437321985,7.008495283,6.667225716,7.506927882,7.682146089,7.68665736
"AL357153.2",6.0986206535,6.085666746,6.709362018,6.253243338,6.3698459275,6.1028905495,5.77610429,6.027509235,5.3661545435,6.634477787,6.784074461,6.6955659135
"MED6",11.1398877,10.69145739,10.4392942,10.69503692,10.80057346,10.80548451,11.05018255,11.00868068,11.11379334,10.46538698,10.33989974,10.51223251
"MAP3K9",6.782138398,7.054501805,7.488118145,7.084686488,7.140979171,6.995841527,8.625234721,7.957317219,8.233012732,7.414206175,7.503961427,7.003749997
"AC004817.1",6.746197023,7.303910595,7.788033696,7.070116743,6.988054591,7.637686687,6.185519704,6.737289081,6.993106944,7.915117193,7.953861731,7.776089988
"AC004817.5",6.746197023,7.303910595,7.788033696,7.070116743,6.988054591,7.637686687,6.185519704,6.737289081,6.993106944,7.915117193,7.953861731,7.776089988
"RGS6",4.4282748845,4.459332522,4.6088993545,4.5228476895,4.503110165,4.4836029585,4.4495190015,4.3957216425,4.440358467,4.692041098,4.7154785205,4.7327877965
"ZFYVE1",8.591345415,8.758950688,9.050087615,8.849824983,8.917108001,8.705072118,8.542973099,8.512012066,8.600507405,8.632400004,8.218769916,8.615063715
"NUMB",6.444800751,6.887825195,6.665419117,6.544291721,6.658578103,6.859698764,6.522156857,6.300924816,6.556950648,6.755066851,6.879765018,6.612805084
"ELMSAN1",6.752430849,6.470413156,6.656181352,6.486522444,6.394773681,6.805074225,6.895634045,7.164942469,6.722580154,7.896758574,7.738746744,7.678061216
"LCE1C",6.160056858,5.877129891,6.413490574,6.268684689,6.158497007,6.023816839,6.700798527,6.748143319,6.454071869,6.352606241,6.419722543,6.51040507
"FAM161B",8.896927464,8.714875944,8.497160691,8.699495363,8.65578938,8.615505282,8.478213605,8.636509585,8.641562219,8.774832418,8.702552455,8.958079067
"ENTPD5",8.854567254,8.799897961,8.528021565,8.7468631805,8.77031081,8.7710133985,8.448954479,8.410932604,8.5941735105,8.1496346925,7.960442144,8.1816655025
"ALDH6A1",8.301012843,8.077067785,7.7410681185,7.989720443,8.0234617115,8.1963033385,7.924402649,7.836207118,8.065836261,7.585658976,7.4902169055,7.6919848765
"BBOF1",8.301012843,8.077067785,7.7410681185,7.989720443,8.0234617115,8.1963033385,7.924402649,7.836207118,8.065836261,7.585658976,7.4902169055,7.6919848765
"ABCD4",10.92166878,10.61592629,10.59465562,10.81826159,10.71887207,10.63958677,10.87728817,10.70022284,10.59460525,10.1114423,10.10316099,10.37562032
"SYNDIG1L",6.682235186,6.858072566,6.906611642,6.706297939,6.855968974,6.89200655,6.597721499,6.831163887,6.792434876,6.748154313,6.705097461,6.677655992
"NPC2",9.946944249,9.999963167,9.803359806,9.739978393,9.933163163,10.09448684,9.923641938,9.973180321,10.16172059,10.35633289,10.20475476,10.41302679
"LTBP2",6.755992896,7.389966209,7.467614376,7.337552777,7.180372782,7.0188421,6.435395745,6.786330921,7.366474119,6.653661602,6.462384906,6.990938825
"AREL1",5.8997251755,5.8334472705,5.6751575265,5.77243596,5.7588377125,5.9893790545,5.5957287415,5.531021218,6.003548277,5.3585519265,5.42668851,5.3773731305
"YLPM1",8.162538067,8.173855171,8.2333512855,8.260211881,8.264395916,8.069771722,8.288165679,8.264546478,8.3274660535,7.5878646435,7.6642388455,7.668609148
"PROX2",4.886255664,5.002418132,4.976749291,5.157403972,5.039504132,4.712273884,4.772505918,4.752428996,5.212882167,3.861755027,3.937360771,4.137868696
"RPS6KL1",4.067501081,4.151865537,4.631225032,4.069208433,4.239190211,4.405929843,3.503573847,4.399554629,3.453283841,4.419196804,4.792887629,4.057293223
"CHD5",2.598187051,2.606420092,2.94136251,2.710874381,2.713067553,2.737412827,2.820623431,2.723411498,2.761643247,2.632653019,2.638146181,2.645307046
"PGF",6.17611448,5.786271006,6.154179134,5.828001081,5.991197238,6.337444941,7.256255276,7.176465972,6.956852741,7.115543154,6.827370144,7.167490135
