"","turquoise_gene"
"852","SCN7A"
"853","AC024598.1"
"854","ZNF365"
"855","SLCO4C1"
"856","C10orf91"
"857","WDR11"
"858","C5orf22"
"859","KLF13"
"860","GREM1"
"861","LY9"
"862","TTPAL"
"863","STARD4"
"864","CASC3"
"865","IKZF3"
"866","NXNL1"
"867","CMKLR1"
"868","BNIPL"
"869","ZNF619"
"870","PEX11B"
"871","ZFP69"
"872","TRIM2"
"873","ZPBP2"
"874","ANKRD13B"
"875","USP28"
"876","PROC"
"877","TMEM106A"
"878","RAB29"
"879","RCBTB1"
"880","HEATR1"
"881","TGFBR1"
"882","FAM135A"
"883","HLA-DQB2"
"884","MEIS3"
"885","BLOC1S4"
"886","FGB"
"887","HOPX"
"888","IL34"
"889","AC092384.1"
"890","KCTD11"
"891","AC090907.2"
"892","LRRK1"
"893","RNF182"
"894","HS6ST1"
"895","EML5"
"896","LAYN"
"897","CD2"
"898","SVIL"
"899","MCTP1"
"900","ARL9"
"901","IGFBP1"
"902","DDX21"
"903","CNPY1"
"904","CCNE2"
"905","PIKFYVE"
"906","PHRF1"
"907","PPM1K"
"908","SPDL1"
"909","TAF9B"
"910","AASS"
"911","ATXN1"
"912","KRTAP10-8"
"913","SCARB1"
"914","TXNIP"
"915","C9orf163"
"916","HMGCL"
"917","BRCA1"
"918","ANKRD20A1"
"919","IKZF1"
"920","TMEM186"
"921","CD200R1"
"922","ZFP2"
"923","GPR137B"
"924","KRT17"
"925","PRKAA1"
"926","GRIN1"
"927","SUSD4"
"928","SDR42E1"
"929","OSBPL5"
"930","TBX19"
"931","RPL34"
"932","IFI44L"
"933","MCM3"
"934","UTP25"
"935","PLXNB1"
"936","ZNF28"
"937","NCBP2L"
"938","ZNF75D"
"939","MFSD14B"
"940","CD247"
"941","TRMT13"
"942","CEMIP2"
"943","LINC02054"
"944","SLC30A1"
"945","ABCG2"
"946","ELANE"
"947","GPM6A"
"948","FCAR"
"949","OR2A4"
"950","PATE2"
"951","ZNF653"
"952","HPGD"
"953","ZZEF1"
"954","NUDCD3"
"955","TAS2R5"
"956","XAGE1B"
"957","UBE3C"
"958","MSANTD2"
"959","PTPRE"
"960","FFAR3"
"961","IL10"
"962","KLK1"
"963","GOLGA3"
"964","RGS2"
"965","EFCAB5"
"966","TMEM41B"
"967","EFR3A"
"968","CRK"
"969","ANXA3"
"970","SPAG9"
"971","TTC16"
"972","MSMO1"
"973","MECR"
"974","MFAP3"
"975","ZNF699"
"976","NGRN"
"977","SFTPA2"
"978","AC020916.1"
"979","ZDHHC11"
"980","IFNLR1"
"981","GPR171"
"982","C5AR1"
"983","GABPB2"
"984","CRPPA"
"985","AC005520.1"
"986","TPTE"
"987","AF254983.1"
"988","GLYATL2"
"989","RRP7A"
"990","BHMT2"
"991","AL512428.1"
"992","ARMH2"
"993","PLPP2"
"994","MSANTD4"
"995","ARMCX3"
"996","ARMCX3-AS1"
"997","GZMM"
"998","GJC3"
"999","LDLRAP1"
"1000","SMG1P1"
"1001","NPIPB12"
"1002","TRIM36"
"1003","GCSAM"
"1004","OBI1"
"1005","OXSR1"
"1006","LINC01521"
"1007","LAD1"
"1008","CCDC175"
"1009","TPST2"
"1010","KNG1"
"1011","AC109460.1"
"1012","SPNS1"
"1013","APOL2"
"1014","ADRB2"
"1015","HMGCS2"
"1016","ESRRA"
"1017","TMEM43"
"1018","KCNK16"
"1019","IMPA1"
"1020","LY6K"
"1021","PANK1"
"1022","RAB39B"
"1023","HAP1"
"1024","GSDMC"
"1025","GXYLT2"
"1026","RPA2"
"1027","UCP2"
"1028","PKD2"
"1029","TMPRSS9"
"1030","TTLL12"
"1031","STAT6"
"1032","SNX11"
"1033","SFXN2"
"1034","COG6"
"1035","PCSK1N"
"1036","DHX35"
"1037","GNL3L"
"1038","AC244669.2"
"1039","AC245297.1"
"1040","UBL4A"
"1041","NAA60"
"1042","RALYL"
"1043","ZNF665"
"1044","ARVCF"
"1045","CYB5B"
"1046","ZNF641"
"1047","CDH10"
"1048","APBA2"
"1049","KCNJ2"
"1050","KIF12"
"1051","FHIT"
"1052","PENK"
"1053","TMOD1"
"1054","IRF4"
"1055","FNBP4"
"1056","CASP2"
"1057","CBFB"
"1058","NFKBIA"
"1059","PPP4R3B"
"1060","ERCC4"
"1061","ARHGAP10"
"1062","NDUFA4L2"
"1063","PLPBP"
"1064","KLRF2"
"1065","THAP8"
"1066","ZNF30"
"1067","TUBG2"
"1068","SCT"
"1069","PLEKHG4"
"1070","NABP1"
"1071","IL17C"
"1072","ZNF793"
"1073","ADPRHL2"
"1074","OR5AS1"
"1075","PLAGL1"
"1076","GPR42"
"1077","AC138811.1"
"1078","PATJ"
"1079","CR381670.1"
"1080","ANKRD20A21P"
"1081","PHLDA2"
"1082","TOB2"
"1083","CTLA4"
"1084","HLA-DRA"
"1085","IL15RA"
"1086","AC008770.2"
"1087","TMTC3"
"1088","EXOC5"
"1089","ZNF695"
"1090","LMLN"
"1091","AC135893.1"
"1092","MAGI1"
"1093","GSAP"
"1094","GNPNAT1"
"1095","AL139317.3"
"1096","FBLN5"
"1097","SH3RF1"
"1098","NQO2"
"1099","ASS1"
"1100","ZNF853"
"1101","ACO1"
"1102","SLC15A4"
"1103","GAR1"
"1104","CBFA2T2"
"1105","ZSCAN12"
"1106","GOLGA8T"
"1107","HOXA10"
"1108","RORC"
"1109","TOGARAM1"
"1110","COL8A1"
"1111","LPCAT1"
"1112","FAM157C"
"1113","AC133919.2"
"1114","AL669831.1"
"1115","AC240565.2"
"1116","AC069287.3"
"1117","CSRP2"
"1118","MRRF"
"1119","ANKRD20A3"
"1120","MIER2"
"1121","PDE6C"
"1122","VPS52"
"1123","HCG25"
"1124","ZNF283"
"1125","GJB7"
"1126","IKZF2"
"1127","AC093865.1"
"1128","ZFYVE21"
"1129","PLPP3"
"1130","AC119674.2"
"1131","TPD52L1"
"1132","RNF227"
"1133","SDK2"
"1134","TRIM71"
"1135","BOK"
"1136","RBL1"
"1137","GOLGA8S"
"1138","MARVELD3"
"1139","FAM47C"
"1140","GOLPH3"
"1141","NKD1"
"1142","DLG4"
"1143","IGSF10"
"1144","FBXO8"
"1145","SASS6"
"1146","DNAH14"
"1147","ABHD4"
"1148","ZCCHC4"
"1149","PTCD2"
"1150","USP17L22"
"1151","USP17L12"
"1152","USP17L19"
"1153","HSPA1L"
"1154","ZNF823"
"1155","RIMS1"
"1156","AC009879.4"
"1157","RRS1"
"1158","C6orf163"
"1159","CELF2"
"1160","GPD1"
"1161","ITGA2"
"1162","KLHDC8B"
"1163","RNF144B"
"1164","ARHGAP20"
"1165","FAM120B"
"1166","PHLDB2"
"1167","TMEM163"
"1168","EXTL2"
"1169","SCNN1B"
"1170","AC013717.1"
"1171","OASL"
"1172","ZBP1"
"1173","PRKG2"
"1174","CORO6"
"1175","INTS3"
"1176","CASP14"
"1177","ZNF215"
"1178","ARPIN-AP3S2"
"1179","PLTP"
"1180","MRM2"
"1181","GPD1L"
"1182","ABCA2"
"1183","C2orf15"
"1184","DIXDC1"
"1185","C10orf82"
"1186","CNDP2"
"1187","PFKFB3"
"1188","UBE2Z"
"1189","MCMDC2"
"1190","KLF4"
"1191","POLA2"
